article_id,tag_id
1,2
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
11,45
12,45
13,45
14,45
15,62
16,62
17,62
18,62
19,62
20,62
21,19
22,36
23,62
24,19
25,3
26,44
27,19
28,44
29,9
30,9
31,28
32,44
33,44
34,44
35,3
45,34
46,34
47,34
48,34
49,34
53,20
54,20
55,20
56,20
57,20
58,20
59,20
60,20
61,20
62,3
63,3
64,3
65,3
67,3
68,20
70,17
71,17
73,13
74,52
75,52
76,13
77,52
78,43
82,3
83,3
84,3
1,18
2,18
3,18
4,18
5,18
6,18
7,18
8,18
9,18
15,34
16,34
17,34
18,34
19,3
20,3
22,3
23,36
24,36
25,18
26,36
27,36
28,8
29,8
30,8
31,48
32,51
33,8
34,58
35,18
38,13
39,13
40,13
41,58
42,58
43,58
44,58
52,17
54,52
55,52
61,21
66,20
78,52
80,13
81,13
83,19
84,19
1,70
2,66
3,66
4,66
5,66
6,67
7,67
8,67
9,70
11,67
12,67
13,67
14,71
15,66
16,70
17,66
18,69
19,69
20,66
21,69
22,69
23,66
24,67
25,66
26,66
27,70
28,70
29,66
30,66
31,66
32,66
33,66
34,66
35,67
36,67
37,68
38,66
39,66
40,68
41,65
42,71
43,66
44,65
45,66
46,67
47,67
49,67
50,66
51,66
70,68
71,66
72,66
74,65
78,68
80,66
81,68
83,68
1,64
2,64
3,64
4,64
5,64
6,64
7,64
8,64
9,64
11,64
12,64
13,64
14,64
15,64
16,64
17,64
18,64
19,64
20,64
21,64
22,64
23,64
24,64
25,64
26,64
27,64
28,64
29,64
30,64
31,64
32,64
33,64
34,64
35,64
36,64
37,64
38,64
39,64
40,64
41,64
42,64
43,64
44,64
45,64
46,64
47,64
48,64
49,64
50,64
51,64
52,64
53,64
54,64
55,64
56,64
57,64
58,64
59,64
60,64
61,64
62,64
63,64
64,64
65,64
66,64
67,64
68,64
69,64
70,64
71,64
72,64
73,64
74,64
75,64
76,64
77,64
78,64
79,64
80,64
81,64
82,64
83,64
84,64
