project_id,tag_id
1,49
2,49
3,49
4,49
6,49
7,49
9,49
11,49
12,49
13,49
14,49
15,49
16,49
17,49
18,49
20,49
21,49
22,49
23,49
24,49
26,49
27,49
28,49
29,49
30,49
31,49
32,49
33,49
34,49
35,49
36,49
37,49
39,49
40,49
41,49
42,49
43,49
44,49
45,49
46,49
47,49
48,49
49,49
50,49
51,49
52,49
53,49
54,49
55,49
56,49
57,49
58,49
59,49
60,49
61,49
62,49
63,49
64,49
65,49
66,49
67,49
68,49
69,49
70,49
71,49
72,49
73,49
74,49
75,49
76,49
77,49
78,49
79,49
80,49
81,49
82,49
83,49
84,49
85,49
87,49
88,49
89,49
90,49
91,49
92,49
93,49
94,49
95,49
96,49
97,49
98,49
99,49
100,49
101,49
102,49
103,49
104,49
105,49
106,49
107,49
108,49
109,49
110,49
111,49
113,49
114,49
115,49
116,49
117,49
118,49
119,49
120,49
121,49
122,49
123,49
124,49
125,49
126,49
127,49
128,49
129,49
130,49
131,49
132,49
133,49
134,49
135,49
136,49
137,49
138,49
139,49
140,49
141,49
142,49
143,49
144,49
145,49
146,49
147,49
148,49
149,49
150,49
151,49
152,49
153,49
154,49
155,49
156,49
157,49
158,49
159,49
160,49
161,49
162,49
163,49
164,49
165,49
166,49
167,49
168,49
169,49
170,49
171,49
172,49
173,49
175,49
176,49
177,49
178,49
179,49
180,49
181,49
182,49
183,49
184,49
185,49
186,49
187,49
188,49
189,49
190,49
191,49
192,49
193,49
194,49
195,49
196,49
197,49
198,49
199,49
200,49
201,49
202,49
203,49
204,49
205,49
206,49
207,49
208,49
209,49
210,49
211,49
212,49
213,49
214,49
216,49
217,49
218,49
219,49
220,49
222,49
223,49
224,49
225,49
226,49
227,49
228,49
229,49
230,49
231,49
232,49
233,49
234,49
235,49
236,49
237,49
238,49
239,49
240,49
241,49
242,49
243,49
244,49
245,49
246,49
247,49
248,49
249,49
250,49
251,49
252,49
253,49
254,49
255,49
256,49
257,49
258,49
259,49
260,49
261,49
262,49
263,49
264,49
265,49
266,49
267,49
268,49
269,49
270,49
271,49
272,49
273,49
274,49
275,49
276,49
277,49
278,49
279,49
280,49
281,49
282,49
283,49
284,49
285,49
286,49
287,49
288,49
289,49
290,49
291,49
292,49
293,49
294,49
295,49
296,49
297,49
298,49
299,49
1,13
2,18
4,62
6,18
7,62
9,62
11,13
12,17
13,39
14,14
15,29
16,29
18,43
20,13
22,17
23,17
24,17
26,13
27,62
28,3
29,18
30,62
31,9
32,20
33,29
34,20
35,43
37,20
39,17
40,17
41,17
42,17
43,29
44,52
45,15
46,13
47,30
48,30
50,9
51,41
52,10
53,43
54,62
55,17
56,29
58,43
59,18
60,62
61,30
62,30
63,43
64,52
65,52
66,20
67,32
68,17
69,32
70,39
71,43
72,17
73,62
74,10
76,17
78,43
79,30
80,15
81,4
82,43
84,30
85,52
87,30
89,15
91,14
93,13
94,52
95,62
96,43
98,29
100,30
101,13
102,60
103,62
104,42
105,30
106,33
107,17
108,29
109,43
110,30
111,17
113,17
114,14
116,10
117,14
118,43
120,60
122,9
123,30
124,9
126,9
127,20
128,29
129,32
130,20
131,17
132,11
133,17
134,62
136,44
138,43
139,13
140,62
141,17
142,18
144,18
145,57
147,18
148,4
149,60
150,14
152,39
153,29
154,18
156,43
157,62
158,13
159,43
160,15
161,43
162,18
163,60
164,43
165,30
166,39
167,60
169,60
170,30
171,43
173,13
175,60
176,52
179,43
180,31
181,43
182,15
183,29
184,62
185,17
187,9
188,9
189,4
190,60
191,30
192,17
193,43
194,17
195,10
196,43
197,62
200,62
202,29
203,62
204,32
205,43
207,20
208,17
209,60
210,13
211,29
212,37
213,43
214,43
217,30
218,30
219,30
220,17
223,14
224,48
225,43
226,21
227,30
228,17
229,13
230,43
231,27
232,18
234,29
235,62
236,17
237,17
238,17
239,17
240,18
241,14
242,20
244,43
245,18
246,39
247,17
248,13
250,13
251,17
252,42
254,20
255,30
258,42
260,14
261,14
262,30
263,4
264,14
265,14
266,52
267,20
268,4
269,60
270,17
271,60
272,20
273,20
274,45
276,18
277,62
278,20
279,52
280,20
281,14
282,15
283,29
284,13
285,62
286,13
287,14
288,14
293,43
294,43
295,43
296,17
297,10
298,20
299,62
1,18
2,3
6,3
22,16
28,47
29,3
30,13
39,27
40,16
41,15
43,45
46,3
47,41
51,48
55,16
62,41
64,17
67,17
68,32
69,17
71,40
76,16
79,42
82,41
84,42
85,17
87,41
91,18
93,58
100,41
101,35
104,20
105,41
110,41
113,16
120,21
123,42
129,17
130,17
131,29
132,13
133,16
134,13
136,13
138,20
139,58
141,16
142,34
144,34
145,11
147,3
148,33
149,25
154,3
162,3
165,41
170,41
175,48
176,13
180,13
183,52
185,15
191,41
194,16
200,13
204,17
208,16
210,7
212,34
217,42
220,16
228,16
229,62
232,58
235,11
236,16
237,15
238,15
239,16
240,13
242,57
245,3
248,58
249,7
250,11
251,16
252,4
255,42
262,42
263,13
264,41
265,2
266,21
269,25
270,16
276,3
283,17
286,62
287,48
288,48
293,2
295,58
296,43
297,16
299,14
1,29
26,34
29,62
30,11
59,58
93,6
100,4
101,18
104,65
134,11
136,18
139,3
142,11
144,13
145,62
158,34
165,4
191,4
212,11
232,13
235,13
266,59
276,36
283,60
286,11
295,37
297,17
299,37
