project_id,name,coingecko-id,description,token_image_url,ticker,website_url,webapp_url,contract_url,coingecko_url,llama_url,rekt_url,dune_url,whitepaper_url,github_url,docs_url,twitter_url,discord_url,telegram_url,medium_url,video_url,chain1,chain2
1,0x,0x,0x is a protocol that facilitates the peer-to-peer exchange of Ethereum-based assets. The protocol serves as an open standard and common building block for any developer needing exchange functionality. 0x provides secure smart contracts that are externally audited; developer tools tailored to the 0x ecosystem; and open access to a pool of shared liquidity. Developers can integrate with 0x at the smart contract or application layer.,https://assets.coingecko.com/coins/images/863/thumb/0x.png?1547034672,ZRX,https://0x.org/,https://matcha.xyz/,https://etherscan.io/token/0xe41d2489571d322189246dafa5ebde1f4699f498,https://www.coingecko.com/en/coins/0x,,,https://dune.xyz/projects/0x,https://0x.org/docs/core-concepts,https://github.com/0xProject,https://0x.org/docs,https://twitter.com/0xproject,https://discord.gg/d3FTX3M,,,,,
2,1inch,1inch,"DeFi / DEX aggregator that is interested in high liquidity and optimal rates on Ethereum, Binance Smart Chain, Optimism, Polygon",https://assets.coingecko.com/coins/images/13469/thumb/1inch-token.png?1608803028,1INCH,https://1inch.exchange/#/,https://app.1inch.io/#/1/swap/ETH/DAI,,https://www.coingecko.com/en/coins/1inch,https://defillama.com/protocol/1inch,,https://dune.xyz/projects/1inch,,https://github.com/1inch,,https://twitter.com/1inch,https://discord.com/invite/FZADkCZ,https://t.me/OneInchNetwork,https://blog.1inch.io/,,,
3,88mph,88mph,"88mph is an open-source and non-custodial protocol allowing you to deposit your crypto and earn a fixed yield rate, speculate on future variable yield rates, and be rewarded with different incentives.",https://assets.coingecko.com/coins/images/13137/small/yfU-_Tcj_400x400.png?1605581509,MPH,https://88mph.app/,,https://etherscan.io/token/0x8888801af4d980682e47f1a9036e589479e835c5,https://www.coingecko.com/en/coins/88mph,https://defillama.com/protocol/88mph,,,,https://github.com/88mphapp,https://docs.88mph.app/,https://twitter.com/88mphapp,https://discord.com/invite/QThgeYxDuM,https://t.me/join_88mphapp,https://medium.com/88mphapp,,,
4,AAVE,aave,"Aave is a decentralized money market protocol where people can lend out their assets to earn interest, or borrow various cryptocurrencies against their deposited collateral. The protocol has a native token AAVE, which is used by its community to make collective decisions on the direction of the protocol.",https://assets.coingecko.com/coins/images/12645/thumb/AAVE.png?1601374110,AAVE,https://aave.com/,https://app.aave.com/markets,https://docs.aave.com/developers/the-core-protocol/aave-token,https://www.coingecko.com/en/coins/aave,https://defillama.com/protocol/aave,,https://dune.xyz/projects/aave,https://github.com/aave/aave-protocol/blob/master/docs/Aave_Protocol_Whitepaper_v1_0.pdf,https://github.com/aave,https://docs.aave.com/developers/,https://twitter.com/AaveAave,https://discord.com/invite/adPfquZDZc,https://t.me/Aavesome,https://medium.com/aave,,,
6,AirSwap,airswap,AirSwap is an open developer community focused on decentralized trading systems. AirSwap technology powers peer-to-peer swap networks using de facto standard RFQ and Last Look protocols making it the weapon of choice for traditional market makers entering the decentralized financial system.,https://assets.coingecko.com/coins/images/1019/thumb/AST.png?1547034939,AST,https://www.airswap.io/,https://trader.airswap.io/,https://docs.airswap.io/contract-deployments,https://www.coingecko.com/en/coins/airswap,,,,https://www.airswap.io/whitepaper.htm,https://github.com/airswap,https://docs.airswap.io/,https://twitter.com/airswap,https://discord.com/invite/ecQbV7H,https://t.me/airswap,https://airswap.medium.com/,,,
7,Alchemix,alchemix,"Alchemix Finance is a DeFi protocol that allows people to create yield-backed synthetic tokens in exchange for providing their cryptocurrencies as collateral. Visitors can for example deposit their DAI into the protocol, and receive (a lesser amount of) alUSD tokens, equally pegged to $1. The protocol uses the collateral provided by its visitors to collect yield and dynamically repay the depositors' debt, essentially giving its users an immediate claim on the future yield of their tokens. The protocols native token is ALCX, used to govern the development and directional decisions of Alchemix.",https://app.alchemix.fi/static/media/AlchemixLogo.af98983b.png,ALCX,https://alchemix.fi/,https://app.alchemix.fi/,https://etherscan.io/token/0xdbdb4d16eda451d0503b854cf79d55697f90c8df,https://www.coingecko.com/en/coins/alchemix,https://defillama.com/protocol/alchemix,,,https://alchemix.fi/c76d1d663f6c8247b86a8fca83d5bd1b.pdf,https://github.com/alchemix-finance,,https://twitter.com/alchemixfi,https://discord.com/invite/zAd6dzgwaj,,https://alchemixfi.medium.com/,,,
9,Alpha,alpha-finance,Alpha Homora V2 is a leveraged yield farming and leveraged liquidity providing protocol.,https://assets.coingecko.com/coins/images/12738/thumb/AlphaToken_256x256.png?1617160876,ALPHA,https://homora-v2.alphafinance.io/,https://homora-v2.alphafinance.io/,https://etherscan.io/token/0xa1faa113cbe53436df28ff0aee54275c13b40975,https://www.coingecko.com/en/coins/alpha-finance,https://defillama.com/protocol/alpha-finance,,,https://github.com/AlphaFinanceLab/alpha-lending-smart-contract/blob/master/documents/Alpha%20Lending%20Whitepaper.pdf,https://github.com/AlphaFinanceLab,https://alphafinancelab.gitbook.io/alpha-finance-lab/,https://twitter.com/alphafinancelab,https://discord.com/invite/Z2vuKDT,https://t.me/AlphaFinanceLab,https://blog.alphafinance.io/,,,
11,AMP,amp-token,"AMP is a digital collateral token that provides instant, verifiable assurance for any real-world application",https://assets.coingecko.com/coins/images/12409/small/amp-200x200.png?1599625397,AMP,https://amptoken.org/,,https://etherscan.io/token/0xff20817765cb7f73d4bde2e66e067e58d11095c2,https://www.coingecko.com/en/coins/amp,https://defillama.com/protocol/flexa,,,,https://github.com/amptoken,https://docs.amptoken.org/,https://twitter.com/amptoken,https://discord.com/invite/T4EY6yx,https://t.me/ampchat,https://medium.com/amptoken,,,
12,Ante Finance,,"Stake tests to show faith in the underlying smart contracts and potentially earn rewards, or challenge tests you think will fail",,,https://www.ante.finance/,https://app.ante.finance/#/,,,,,,,,,https://twitter.com/AnteFinance,https://discord.com/invite/yaJthzNdNG,,https://medium.com/ante-finance,,,
13,APE SZN,,APE SZN is a cryptocurrency related merchandise store created by Alex Wice,,,https://apeszn.com/,,,,,,,,,,https://twitter.com/CryptoLifeCap,,,,,,
