skill_id,title,text,tag1,tag2,tag3
1,What a crypto currency wallet is,,skill,beginner,technology
2,How to obtain and set up a wallet,,skill,beginner,technology
3,What a crypto exchange is,"In the world of cryptocurrencies, one of the most important things to an investor is having the ability to buy or trade coins at any time. Whether it be the chance to strike it big on a coin or the opportunity to buy and sell whenever you please, there needs to be a service that allows this to happen 24 hours a day, 7 days a week. This is the job of an exchange. <br/><br/> An exchange is a place where financial instruments like stocks or commodities are traded. In the traditional financial markets, some examples of exchanges are the New York Stock Exchange and the NASDAQ. <br/><br/> Because of the trading that occurs 24/7 in crypto, there need to be places where investors can go anytime of the day, with the certainty their requests will be taken care of. On an exchange, you can either buy crypto with fiat currency or convert coins from one to the other - a feature unique to the world of cryptocurrencies. <br/><br/> There are hundreds, if not thousands, of coins that are currently on the market. Due to the rapid pace that coins are created and traded, not all of them will be available on any given exchange - coingecko is a good place to check which exchange each coin is traded on. <br/><br/> Some examples of centralised crypto exchanges are Coinbase, Binance, FTX and Kraken. While all of these are fairly similar, there are advantages and disadvantages inherent to each one. This is primarily due to the rambunctious nature of the crypto markets, as certain investing styles are more suitable to different exchanges. <br/><br/> For example, FTX offers leverage trading, while Coinbase offers both a simple buy/sell interface, as well as market and limit orders. While centralised exchanges might be best for most users, there are also decentralised exchanges for those who wish to dive a little bit deeper into crypto. Some examples of these are Uniswap, Sushiswap and 1inch. ",skill,beginner,technology
4,How to register on an exchange ,"In the year 2022, there are a variety of cryptocurrency exchanges to trade on. You could embrace the wild side and trade on a decentralized exchange like Uniswap or Sushiswap - or you could stick with the simpler route and head over to a centralized exchange (CEX). If it’s your first time doing this, it can be pretty tricky. Crypto is still an uncharted space in a lot of ways, so it’s important to feel comfortable before putting your money in the line.<br/><br/> For starters, let’s head over to a CEX like Binance or Coinbase. For the sake of simplicity, let’s assume you’re in the United States. If you haven’t done this before, you’ll need to gather up some information to assist you in the process. Because Binance and other major exchanges adhere to KYC (know your customer) rules, you’ll need some form of identification card to verify your identity. <br/><br/> After this, you’ll need to type in your email or phone number and perform two-factor authentication (2FA). Binance will send you a message to confirm it’s you trying to access their platform - you’re dealing with money after all, you wouldn’t want someone else claiming they’re you!<br/><br/> Next, create a username and password - and write this down somewhere safe! If you get signed out of your account with no way to get back in, this can be a long and difficult process. If you’re able to, save the info on your computer so you don’t need to log back in everytime. <br/><br/> Sometimes, an exchange might take a few days to verify your identity. You might need to give them a social security number (possibly only the last 4 digits) or a piece of paperwork to prove you’re a citizen. After this, you’re free to trade!<br/><br/> While most exchanges have similar processes for onboarding new users, it’s important to make sure you’re prepared for when it’s time to start trading. Most will continue to require 2FA to ensure you aren’t being hacked, so always have access to your email or message app. Feel free to explore and see what every exchange has to offer - the possibilities are endless!",skill,beginner,technology
5,How to set up an alternative email for crypto use only and secure it with MFA,,skill,beginner,security
6,How to set up and use a VPN for crypto trading,"Because the cryptocurrency markets are still so new, many of these assets aren’t able to be traded just anywhere. In the United States, for instance, those who wish to trade must use the US versions of exchanges like Binance and FTX due to legal reasons. Since crypto assets aren’t registered securities, there are often loopholes to jump through for US users to even engage with them. For the crypto-native, a virtual private network (VPN) is something you need in your toolbox. Here’s how it works.  <br/><br/> Let’s say you’re Alice who lives in New York. One of your Twitter followers recently told you about an exciting new cryptocurrency, and you’re excited to purchase it. You eagerly hop onto FTX US, only to realize it isn’t available. What are you to do?<br/><br/> Instead of missing the opportunity to buy the next Bitcoin, you decide a VPN is the best choice of action. Essentially, a VPN disguises your IP address (the series of digits that displays where your device is being used) in order to make it appear that you’re somewhere you aren’t. Some popular VPNs are Nord, Express and Proton - all of which can provide you with different levels of accessibility and anonymity. <br/><br/> While using a VPN, you can choose to appear as if you’re actually using the internet from Europe or Asia! As long as the location you choose allows for free trading of all cryptocurrencies, you’re good to go. While this is just one simple example of a loophole, many use VPNs to access novel DeFi protocols that aren’t often available in the US. <br/><br/> Typically, the process is as easy as creating an account on the VPN site, downloading the software (most quality VPNs cost money), choosing your location and running the software. It’s as easy as that. <br/><br/> Maybe one day the US will allow for increased exposure to all crypto assets, but until then, those who wish to trade freely must jump through loopholes like this. VPNs are legal in the US, but sites have the right to block your access to them if they find out you’re using a VPN. There are more ways to avoid this from happening, but these basic steps will help you get on the right track. ",skill,beginner,security
7,How to lock down down your social media accounts to avoid being profiled by scammers,,skill,beginner,security
8,What Bitcoin is,"then, Bitcoin has become a cultural zeitgeist and climbed its way to over $50,000. But what is Bitcoin, and how does it work?<br/><br/> Bitcoin is digital money that was created as a solution for peer-to-peer (P2P) transactions - a decentralized solution with no middlemen, bank fees and waiting for funds. Bitcoin is backed by the blockchain, which is a term that describes an immutable public database holding the history of every Bitcoin transaction - forever. If one wished, they could go through the blockchain and view the very first transaction that used Bitcoin, although this might take a long time to find.<br/><br/> Since Bitcoin’s inception, its price has risen a tremendous amount, mainly due to speculation on cryptocurrency exchanges. However, more recently investors have decided Bitcoin can serve as a digital store of value, similar to how gold is a store of value for many nations. As this information has spread, more investors have taken a liking to Bitcoin and cryptocurrencies as a whole, something early adopters might have never imagined. While Bitcoin was first hailed as a P2P solution, many have run with this store of value thesis and consider it to be the digital gold.<br/><br/> Bitcoin was the very first cryptocurrency, and many have tried and failed to replicate its success. While there is only one true Bitcoin on the market - 21 million, to be exact - Bitcoin has led the way for thousands of other coins to come after it. The entire cryptocurrency market cap is over $2.5 trillion, all thanks to Bitcoin. ",skill,beginner,trading
9,What Eth is,"Ethereum is a blockchain that utilizes Proof of stake (PoS) algorithms to validate transactions. Created in 2013 by Vitalik Buterin, Ethereum was made out of a need for decentralization. Buterin had found himself feeling disgusted by the evils of centralized entities, and wanted to create something after connecting to the idea of Bitcoin. <br/><br/> Many refer to the cryptocurrency as Ethereum, yet the proper name is ‘Ether’ as the network is named Ethereum and Ether powers the network. Ethereum can be viewed as a decentralized network of computers that run the Ethereum Virtual Machine (EVM) - the engine behind the whole Ethereum network. <br/><br/> While Bitcoin is seen as a digital store of value similar to gold, Ether is a token that provides utility to users. To approve transactions and interact with the Ethereum network, users must spend Ether to pay for fees, which keep the machine churning. There are a variety of actions users can take on the network, thanks to smart contracts - blockchain programs that perform a series of actions. <br/><br/> As the cryptocurrency ecosystem has grown, so has the number of users. Ethereum processes over a million transactions a day - the most of any blockchain. Due to the increasing number of users, alternative Layer 1 blockchains have popped up, hoping to capture Ethereum’s vast market share. As the competition has heated up, Ethereum developers have been working on a solution known as Ethereum 2.0. This series of changes seeks to “fix” the high fees and free up space for more transactions to go through, therefore resulting in a positive experience for users.<br/><br/> Ethereum aims to be the money of the internet, providing a decentralized solution for a world overrun with centralization and toxic monetary policy. ",skill,beginner,trading
10,What DAI is,"In the cryptocurrency world, a stablecoin is a unique type of token that has its value pegged to the dollar. Created by MakerDAO, DAI is a stablecoin that is decentralized, as opposed to stables like Tether (USDT) and USDC. What is DAI, and how is it different from other stablecoins?<br/><br/> DAI strives to be one of the few stablecoins that is actually backed, with various crypto assets locked to ensure this 1:1 ratio remains backed by some intrinsic aspect. As DAI is a stablecoin that lives on the Ethereum blockchain, its collateral is denominated in Ether and used to determine the ratio DAI is currently sitting on.<br/><br/> Because DAI is decentralized, there is no one entity that can change the supply in any manner - only smart contracts have this capability. The benefits of a decentralized stablecoin may largely go unnoticed, mainly because all stables are the same price. However, in the event of some form of large scale bank run, collateralized stablecoins would win out and ultimately keep their investors’ (holders’) money safe and secure. <br/><br/> There are various crypto stablecoins, but few operate as DAI does. This first of its kind decentralized stable has made its way to the top 25 crypto currencies by market cap while becoming one of the most reputable stablecoins on the market. ",skill,beginner,trading
