skill_id,tag_id
1,70
2,70
3,70
4,70
5,70
6,70
7,70
8,70
9,70
10,70
11,70
12,70
13,70
14,70
15,70
16,70
17,70
18,70
19,70
20,70
21,70
22,70
23,70
24,70
25,70
26,70
27,70
28,70
29,70
30,70
31,70
32,70
33,70
34,70
35,70
36,70
37,70
38,70
39,70
40,70
41,70
42,70
43,70
44,70
45,70
46,70
47,70
48,70
49,70
50,70
51,70
52,70
53,70
54,70
55,70
56,70
57,70
5,49
6,49
7,49
8,52
9,52
10,52
11,52
19,49
20,49
21,49
22,49
23,49
24,49
25,49
26,49
27,52
28,52
29,52
30,52
37,49
38,49
39,49
40,52
41,52
42,52
43,52
50,49
51,49
52,52
53,52
56,49
57,49
